dc_id,age,name,department
1,36,Kelsy Goldsack,Hospital pharmacy
2,42,Nonie Packman,Endoscopy unit
3,73,Merill Busen,Neonatal intensive care unit
4,25,Reamonn Fyall,"Pediatric intensive care unit,On-call room"
5,21,Chaddie Bletso,Medical records department
6,28,Nonie Packman,Geriatric intensive-care unit
7,74,Chaddie Bletso,Post-anesthesia care unit
8,62,Elbertina Oaten,"Pediatric intensive care unit,On-call room"
9,25,Kelsy Goldsack,Pediatric intensive care unit
10,23,Anni Farny,On-call room
11,74,Marquita Oty,Psychiatric hospital
12,53,Anni Farny,On-call room
13,88,Anni Farny,Coronary care unit
14,22,Zorine Mordaunt,Neonatal intensive care unit
15,57,Lissi Vassie,On-call room
16,72,Reamonn Fyall,Post-anesthesia care unit
17,52,Lissi Vassie,Mental health Emergency Rooms
18,55,Rina Yukhnini,Operating room
19,87,Zorine Mordaunt,"Pediatric intensive care unit,On-call room"
20,46,Abram Keach,Geriatric intensive-care unit
21,65,Yard Sodo,Post-anesthesia care unit
22,3,Robbie Grishukhin,Psychiatric hospital
23,85,Donella Grammer,Burn center
24,47,Kelsy Goldsack,Operating room
25,64,Adair Kingzet,Release of information department
26,1,Carlye Ferreri,Medical records department
27,69,Nonie Packman,Post-anesthesia care unit
28,44,Grissel Berwick,Medical records department
29,81,Merill Busen,Post-anesthesia care unit
30,44,Robbie Grishukhin,Emergency department
31,82,Shirl Norsworthy,"On-call room, Intensive care unit"
32,20,Corilla Mifflin,Release of information department
33,35,Nonie Packman,Burn center
34,1,Lissi Vassie,Pediatric intensive care unit
35,51,Rina Yukhnini,Medical records department
36,88,Vania Tomasek,Geriatric intensive-care unit
37,19,Robbie Grishukhin,Acute medical unit
38,87,Donella Grammer,Central sterile services department
39,29,Lissi Vassie,Margaret and Charles Juravinski Centre
40,29,Lissi Vassie,Mental health Emergency Rooms
41,75,Harli Lazarus,Medical records department
42,20,Lissi Vassie,Intensive care unit
43,66,Abram Keach,Burn center
44,70,Reamonn Fyall,Burn center
45,33,Corilla Mifflin,Intensive care unit
46,9,Abram Keach,Neonatal intensive care unit
47,30,Reamonn Fyall,Burn center
48,42,Kelsy Goldsack,Neonatal intensive care unit
49,63,Lissi Vassie,Medical records department
50,39,Adair Kingzet,Endoscopy unit
51,76,Harli Lazarus,Acute medical unit
52,72,Donella Grammer,Medical records department
53,44,Donella Grammer,"On-call room, Intensive care unit"
54,11,Carlye Ferreri,Geriatric intensive-care unit
55,27,Merill Busen,Endoscopy unit
56,88,Moises Sharpley,Operating room
57,28,Reamonn Fyall,Margaret and Charles Juravinski Centre
58,6,Donella Grammer,Endoscopy unit
59,56,Elbertina Oaten,Margaret and Charles Juravinski Centre
60,52,Vania Tomasek,Emergency department
61,53,Shirl Norsworthy,Psychiatric hospital
62,84,Lissi Vassie,Coronary care unit
63,10,Vania Tomasek,On-call room
64,27,Woodie Dulake,Neonatal intensive care unit
